strategy_id,rated_power_kw,rated_energy_kwh,duration_h,is_valid,feasible,used_fast_reject,obj_npv,obj_payback,obj_investment,obj_safety,duration_violation_h,cycle_violation,transformer_violation_hours,transformer_slack_kw,negative_cashflow_violation,payback_violation_years,max_violation,total_violation,screening_messages,notes,npv_yuan,irr,simple_payback_years,discounted_payback_years,initial_investment_yuan,annualized_net_cashflow_yuan,lc_net_profit_yuan,annual_net_operating_cashflow_yuan,annual_equivalent_full_cycles,annual_battery_throughput_kwh,transformer_violation_hours_runtime,max_transformer_slack_kw_runtime
阳光电源_ST510CS-4H-CN,2456.7401887957712,9826.960755183085,4.0,True,True,False,-12873961.921281604,4.818923439479222,9296304.8744032,300.6913506394652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['通过快速筛选。'],"['已基于 fast_proxy 结果触发 full_recheck。', '已完成 full_recheck 年度运行与生命周期财务评价。']",12873961.921281604,0.20214356792532928,4.818923439479222,5.862207862495085,9296304.8744032,1940447.6474457956,29512648.074512713,1999648.322899443,300.6913506394652,5909764.204314042,0.0,0.0
阳光电源_ST510CS-4H-CN,2447.4332842799427,10779.089273460753,4.4042423312192795,True,True,False,-15130995.890469749,4.597527878443074,10089178.633832704,309.8306278663333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['通过快速筛选。'],"['已基于 fast_proxy 结果触发 full_recheck。', '已完成 full_recheck 年度运行与生命周期财务评价。']",15130995.890469749,0.21276345651927187,4.597527878443074,5.547785028982488,10089178.633832704,2207125.632739885,34053334.020964995,2267880.551155355,309.8306278663333,6679383.994847207,0.0,0.0
阳光电源_ST510CS-4H-CN,2500.0,10611.48739496301,4.244594957985203,True,True,False,-14725481.942519145,4.640084388195961,9971814.949584039,306.84240318758464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['通过快速筛选。'],"['已基于 fast_proxy 结果触发 full_recheck。', '已完成 full_recheck 年度运行与生命周期财务评价。']",14725481.942519145,0.21064685022639654,4.640084388195961,5.608231360509391,9971814.949584039,2161392.3886675606,33256032.823767178,2222777.3554445803,306.84240318758464,6512108.587330423,0.0,0.0
阳光电源_ST510CS-4H-CN,2500.0,10659.238977790263,4.263695591116105,True,True,False,-13583134.55904796,4.877543237768074,10011783.024410449,295.47156420184837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['通过快速筛选。'],"['已基于 fast_proxy 结果触发 full_recheck。', '已完成 full_recheck 年度运行与生命周期财务评价。']",13583134.55904796,0.19950161179927417,4.877543237768074,5.945372883973173,10011783.024410449,2065365.9969536145,31295536.91466184,2125615.4674864896,295.47156420184837,6299004.027938,0.0,0.0
阳光电源_ST510CS-4H-CN,2500.0,10529.610389776584,4.211844155910634,True,True,False,-14923675.448743967,4.583711225194914,9903283.896243,313.0284073125829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['通过快速筛选。'],"['已基于 fast_proxy 结果触发 full_recheck。', '已完成 full_recheck 年度运行与生命周期财务评价。']",14923675.448743967,0.21344514536457976,4.583711225194914,5.528206415106757,9903283.896243,2172604.3291791077,33548802.687339157,2234549.5066500464,313.0284073125829,6592134.339867579,0.0,0.0
阳光电源_ST510CS-4H-CN,2490.6260931885754,10730.042040944845,4.308170572166422,True,True,False,-13943812.154581683,4.819348268993242,10066958.164901054,297.06044948401444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['通过快速筛选。'],"['已基于 fast_proxy 结果触发 full_recheck。', '已完成 full_recheck 年度运行与生命周期财务评价。']",13943812.154581683,0.20214301625183279,4.819348268993242,5.862734006240343,10066958.164901054,2101678.7828723355,31966617.492545657,2161954.350084817,297.06044948401444,6374942.223330895,0.0,0.0
阳光电源_ST225kWh-110kW-2h,2500.0,5725.0,2.29,True,True,False,-9262121.96161275,4.015876591011254,5001000.0,364.00883370732754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['通过快速筛选。'],"['已基于 fast_proxy 结果触发 full_recheck。', '已完成 full_recheck 年度运行与生命周期财务评价。']",9262121.96161275,0.24544893133134116,4.015876591011254,4.738563254243974,5001000.0,1246446.033115252,19927920.66230504,1308866.4222485074,364.00883370732754,4167901.1459489004,0.0,0.0
阳光电源_ST510CS-4H-CN,2500.0,11009.884282724102,4.403953713089641,True,True,False,-14185132.034482528,4.837178151290526,10305273.144640073,295.09916584931136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['通过快速筛选。'],"['已基于 fast_proxy 结果触发 full_recheck。', '已完成 full_recheck 年度运行与生命周期财务评价。']",14185132.034482528,0.20133394349405132,4.837178151290526,5.888026615806953,10305273.144640073,2143737.5699895727,32569478.255151384,2204220.4054904166,295.09916584931136,6498015.335858653,0.0,0.0
阳光电源_ST510CS-4H-CN,2476.6869547435626,10674.620010622699,4.310040067913207,True,True,False,-13735510.023983607,4.846975278041392,10014492.461159391,297.07347128211654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['通过快速筛选。'],"['已基于 fast_proxy 结果触发 full_recheck。', '已完成 full_recheck 年度运行与生命周期财务评价。']",13735510.023983607,0.20088265348205725,4.846975278041392,5.901961700732229,10014492.461159391,2078901.218667103,31563531.912182666,2138844.4753609123,297.07347128211654,6342292.842346458,0.0,0.0
阳光电源_ST510CS-4H-CN,2500.0,10567.70984358125,4.2270839374325,True,True,False,-12521882.394313896,5.0865034829748295,9935173.139077505,285.3279248144569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['通过快速筛选。'],"['已基于 fast_proxy 结果触发 full_recheck。', '已完成 full_recheck 年度运行与生命周期财务评价。']",12521882.394313896,0.19048352620650127,5.0865034829748295,6.256703144966986,9935173.139077505,1966123.0642939687,29387288.146801867,2025259.394830517,285.3279248144569,6030525.439420694,0.0,0.0
阳光电源_ST510CS-2H-CN,2265.8007207223072,5797.698455453806,2.5587856877393773,True,True,False,-9161184.148215106,4.379612364193511,5659298.663791977,362.61779248128767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['通过快速筛选。'],"['已基于 fast_proxy 结果触发 full_recheck。', '已完成 full_recheck 年度运行与生命周期财务评价。']",9161184.148215106,0.22398212735130912,4.379612364193511,5.238914040906186,5659298.663791977,1295973.8478216634,20260178.29264129,1351805.9160657611,362.61779248128767,4204697.23077766,0.0,0.0
阳光电源_ST510CS-4H-CN,2493.338104837126,11659.793640137206,4.676378874376071,True,True,False,-14398691.381538019,4.940248145358807,10846342.690503828,286.73242331459267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['通过快速筛选。'],"['已基于 fast_proxy 结果触发 full_recheck。', '已完成 full_recheck 年度运行与生命周期财务评价。']",14398691.381538019,0.19674584471858408,4.940248145358807,6.036385050976363,10846342.690503828,2210118.1856354307,33356021.022204787,2270018.5151309436,286.73242331459267,6686481.771569233,0.0,0.0
阳光电源_ST510CS-4H-CN,2465.5472987747876,11056.818973451418,4.484529247906101,True,True,False,-16061520.06858576,4.497995516763431,10329536.103044644,312.6960205958287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['通过快速筛选。'],"['已基于 fast_proxy 结果触发 full_recheck。', '已完成 full_recheck 年度运行与生命周期财务评价。']",16061520.06858576,0.21784455714326528,4.497995516763431,5.406461522958017,10329536.103044644,2309425.409300162,35858972.082958594,2371119.7689950056,312.6960205958287,6914846.586893429,0.0,0.0
阳光电源_ST510CS-2H-CN,2447.3379444967386,6289.658517356619,2.5700000000000003,True,True,False,-9774304.011649948,4.423467612611738,6135696.48726833,353.964842772265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['通过快速筛选。'],"['已基于 fast_proxy 结果触发 full_recheck。', '已完成 full_recheck 年度运行与生命周期财务评价。']",9774304.011649948,0.22160926867313646,4.423467612611738,5.301184563006006,6135696.48726833,1391314.2190349023,21690587.89342972,1451129.9339506445,353.964842772265,4452635.976374746,0.0,0.0
阳光电源_ST510CS-4H-CN,2476.06351707673,11231.073638190339,4.535858454653004,True,True,False,-15265632.921472844,4.679035503680046,10479972.328610767,297.57173754688006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['通过快速筛选。'],"['已基于 fast_proxy 结果触发 full_recheck。', '已完成 full_recheck 年度运行与生命周期财务评价。']",15265632.921472844,0.20876536321767675,4.679035503680046,5.6634666890820755,10479972.328610767,2253356.778115396,34587163.233697146,2313783.705959539,297.57173754688006,6684100.194066518,0.0,0.0
阳光电源_ST510CS-4H-CN,2500.0,10783.0802308767,4.31323209235068,True,True,False,-14141216.174082344,4.7932114087202535,10115438.153243797,303.99054418003897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['通过快速筛选。'],"['已基于 fast_proxy 结果触发 full_recheck。', '已完成 full_recheck 年度运行与生命周期财务评价。']",14141216.174082344,0.20334441237871537,4.7932114087202535,5.8256353127291565,10115438.153243797,2123131.0972563666,32347183.791883536,2184369.8522826713,303.99054418003897,6555908.854642456,0.0,0.0
